Department,JobRole,OverTime,JobSatisfaction,EnvironmentSatisfaction,Age_Group,Tenure_Group,Total_Employees,Attrition_Count,Attrition_Rate_Pct,AVG_Salary,Avg_Commute,Avg_Years_With_Manager,Avg_Training_Hours
Human Resources,Human Resources,false,4,2,Under 30,3-5 Mid-Tenure,1,0,0.0,4936.0,8.0,4.0,6.0
Human Resources,Human Resources,false,2,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,2109.0,8.0,2.0,3.0
Human Resources,Human Resources,true,2,4,Under 30,3-5 Mid-Tenure,1,1,100.0,2148.0,20.0,4.0,3.0
Human Resources,Human Resources,true,4,3,30 to 50,6+ Veterans,2,0,0.0,7592.0,17.5,7.0,2.0
Human Resources,Human Resources,true,3,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,2696.0,2.0,0.0,5.0
Human Resources,Human Resources,false,2,4,Under 30,0-2 New Hires,1,0,0.0,2804.0,6.0,0.0,3.0
Human Resources,Human Resources,false,4,3,Under 30,3-5 Mid-Tenure,1,0,0.0,2706.0,1.0,2.0,2.0
Human Resources,Human Resources,true,3,2,Under 30,6+ Veterans,1,1,100.0,2741.0,17.0,0.0,2.0
Human Resources,Human Resources,false,4,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,5204.0,2.0,4.0,2.0
Human Resources,Human Resources,false,3,3,30 to 50,6+ Veterans,2,0,0.0,4460.5,5.5,1.0,2.0
Human Resources,Human Resources,true,4,1,30 to 50,6+ Veterans,1,0,0.0,5743.0,1.0,2.0,3.0
Human Resources,Human Resources,false,1,1,30 to 50,0-2 New Hires,1,0,0.0,6410.0,2.0,0.0,1.0
Human Resources,Human Resources,false,2,3,Over 50,6+ Veterans,1,0,0.0,10725.0,19.0,1.0,1.0
Human Resources,Human Resources,false,2,2,30 to 50,6+ Veterans,1,0,0.0,2177.0,24.0,4.0,3.0
Human Resources,Human Resources,false,1,2,30 to 50,6+ Veterans,1,1,100.0,10482.0,1.0,6.0,1.0
Human Resources,Human Resources,false,1,1,30 to 50,3-5 Mid-Tenure,1,0,0.0,2342.0,8.0,3.0,3.0
Human Resources,Human Resources,true,2,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,2277.0,3.0,3.0,4.0
Human Resources,Human Resources,false,1,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,6272.0,2.0,3.0,3.0
Human Resources,Human Resources,false,1,4,30 to 50,6+ Veterans,1,0,0.0,3423.0,1.0,7.0,3.0
Human Resources,Human Resources,false,2,1,30 to 50,6+ Veterans,1,0,0.0,2592.0,2.0,8.0,3.0
Human Resources,Human Resources,false,3,2,Over 50,0-2 New Hires,1,0,0.0,2267.0,6.0,2.0,2.0
Human Resources,Human Resources,true,2,4,30 to 50,6+ Veterans,1,0,0.0,2991.0,1.0,2.0,2.0
Human Resources,Human Resources,false,4,3,30 to 50,3-5 Mid-Tenure,2,1,50.0,2958.5,5.5,2.0,0.5
Human Resources,Human Resources,false,3,3,30 to 50,3-5 Mid-Tenure,3,0,0.0,5381.0,4.3,3.3,2.3
Human Resources,Human Resources,false,2,3,Under 30,0-2 New Hires,1,0,0.0,2187.0,2.0,2.0,3.0
Human Resources,Human Resources,false,2,1,Under 30,0-2 New Hires,1,1,100.0,2863.0,22.0,0.0,2.0
Human Resources,Human Resources,false,1,4,30 to 50,0-2 New Hires,1,1,100.0,2956.0,18.0,0.0,4.0
